 ,Area,Mean,Min,Max,Angle,Length
35,7.45,4047.492,+AC0-7873.932,10956.134,+AC0-113.199,7.579
36,7.45,6415.496,+AC0-1175.833,10921.663,+AC0-7.125,7.172
37,8.278,9200.604,2024.587,14702.907,+AC0-102.529,8.626
38,8.278,7780.717,+AC0-160.541,14919.958,+AC0-11.31,8.451
39,9.105,1057.476,+AC0-6143.18,8667.98,+AC0-95.711,9.16
40,8.278,2138.719,+AC0-5848.221,9856.136,+AC0-12.529,8.092
41,8.278,8538.507,1324.179,15446.033,+AC0-83.66,7.921
42,7.45,9408.779,3484.062,15738.91,180,7.278
43,6.622,13993.491,8023,18728.074,+AC0-81.87,6.007
44,7.45,14256.013,9040.643,18867.463,8.13,6.992
45,9.933,5716.261,+AC0-3236.125,12240.875,+AC0-90,9.78
46,9.933,5386.476,+AC0-1329.562,11820.95,0,10.241
47,10.761,1664.855,+AC0-6132.562,7754,+AC0-94.764,10.927
48,10.761,1006.025,+AC0-3652.766,9571.844,+AC0-4.764,11.003
49,9.933,1438.2,+AC0-9244.25,8248.414,+AC0-84.806,9.683
50,9.105,3044.124,+AC0-6459.891,10196.925,16.699,9.467
51,12.416,7602.372,+AC0-3424.75,18334.469,+AC0-98.13,13.189
52,11.589,7675.076,+AC0-3301.656,19593.934,+AC0-4.399,11.749
53,8.278,879.28,+AC0-6133.562,9686.712,+AC0-84.289,8.435
54,7.45,2224.335,+AC0-5130.875,9056.676,7.125,7.539
55,6.622,2148.536,+AC0-1977.547,6548.903,+AC0-90,6.612
56,7.45,1872.724,+AC0-4413.531,6025.297,7.125,7.463
57,10.761,6404.149,+AC0-2418,14158.917,+AC0-108.435,11.293
58,9.105,5352.037,+AC0-4463.5,12471.525,+AC0-16.699,9.081
59,5.794,66.584,+AC0-5934.945,4251.306,+AC0-120.964,5.904
60,6.622,151.702,+AC0-4614.266,3877.741,+AC0-38.66,6.168
61,9.105,12735.758,+AC0-426.418,24094.758,+AC0-73.301,8.923
62,8.278,13689.978,2413.031,25802.172,+AC0-167.471,8.199
63,8.278,9048.057,1783.245,15141.825,+AC0-77.471,8.275
64,9.933,5059.278,+AC0-5044.597,15074.525,26.565,10.316
65,9.105,19838.919,10290.953,27129.156,+AC0-90,8.649
66,9.933,16937.416,2030,27028.637,+AC0-15.255,9.935
67,9.933,10553.204,+AC0-607,16381.889,+AC0-111.801,9.916
68,9.105,10992.688,2717.213,17000.422,+AC0-29.055,8.68
69,8.278,+AC0-876.562,+AC0-10420.741,5878.741,+AC0-83.66,8.106
70,7.45,+AC0-1705.154,+AC0-7261.5,2987.169,15.945,7.294
71,9.933,3096.114,+AC0-3505,9172.109,+AC0-90,9.797
72,7.45,3674.456,+AC0-3387.25,9349.215,14.036,7.641
73,9.933,4247.483,+AC0-2938.312,8257.204,+AC0-84.806,9.973
74,8.278,4601.38,+AC0-1432.5,8074.771,0,8.33
75,9.105,5230.106,+AC0-980.688,9942.088,+AC0-90,9.326
76,7.45,5929.802,+AC0-1515,10539.453,+AC0-7.125,7.293
77,9.933,5846.185,+AC0-2744.5,14113.196,+AC0-111.801,9.639
78,7.45,8691.044,3109.75,12239.433,+AC0-23.199,7.482
79,9.105,8047.261,+AC0-883.25,14003.125,+AC0-60.945,9.169
80,7.45,8357.542,1011,14394.531,29.745,7.335
81,13.244,5767.227,+AC0-3619.078,14350.34,+AC0-90,13.761
82,10.761,3900.497,+AC0-5093,9130.844,+AC0-175.236,10.579
83,10.761,1255.965,+AC0-5362.656,6267.453,+AC0-94.764,11.079
84,9.933,688.649,+AC0-4700.692,6175.662,0,10.018
85,9.105,2641.939,+AC0-3858.937,8350.839,+AC0-119.055,9.161
86,9.933,3740.802,+AC0-4422.675,8893.525,+AC0-21.801,9.977
87,12.416,8057.464,949.143,14872.823,+AC0-107.103,12.435
88,13.244,4721.989,+AC0-4940.061,13149.79,+AC0-3.814,13.688
89,8.278,5937.804,+AC0-8236.156,14101.021,+AC0-90,8.302
90,10.761,3193.178,+AC0-8672,11288.809,+AC0-95.194,10.49
91,9.105,6706.689,+AC0-2594.653,10685.451,+AC0-5.194,9.432
92,11.589,94.046,+AC0-8830.542,4752.53,+AC0-81.254,12.267
93,11.589,+AC0-717.467,+AC0-5715.609,2874.072,8.746,11.817
94,10.761,2109.361,+AC0-7218.5,6246.8,+AC0-74.745,10.785
